,0,1,2,3,4,5
0,Instance,Solution,Temps,Itérations,Temps par itération,Couleurs par itération
1,b'anna.col',11,604.9652724266052,2,"[0.11578249931335449, 600.0013525485992]","[11, 0]"
2,b'david.col',11,601.5158603191376,2,"[0.04940629005432129, 600.0002431869507]","[11, 0]"
3,b'DSJC1000.1.col',6,607.2604672908783,3,"[2.946385145187378, 2.270354747772217, 600.0089378356934]","[7, 6, 0]"
4,b'DSJC1000.5.col',15,662.0505783557892,5,"[5.10230016708374, 2.7033956050872803, 2.7610461711883545, 48.42207455635071, 600.0504863262177]","[18, 17, 16, 15, 0]"
5,b'DSJC125.1.col',6,601.9484612941742,3,"[0.03792762756347656, 0.022458314895629883, 600.000449180603]","[7, 6, 0]"
6,b'DSJC125.5.col',6,0.140733003616333,3,"[0.062383174896240234, 0.047408103942871094, 0.0024938583374023438]","[7, 6, 0]"
7,b'DSJC125.9.col',58,628.7662577629089,2,"[0.5594375133514404, 600.0014474391937]","[58, 0]"
8,b'DSJC250.1.col',7,603.2088694572449,3,"[0.18218302726745605, 0.1117863655090332, 600.0005867481232]","[8, 7, 0]"
9,b'DSJC250.5.col',11,826.193541765213,5,"[0.2305605411529541, 0.15520381927490234, 0.3528292179107666, 224.56754064559937, 600.0008244514465]","[14, 13, 12, 11, 0]"
10,b'DSJC500.1.col',8,604.1004855632782,2,"[0.9222478866577148, 600.0037572383881]","[8, 0]"
11,b'DSJC500.5.col',13,618.0680351257324,3,"[1.0490052700042725, 16.199011087417603, 600.0053462982178]","[14, 13, 0]"
12,b'DSJR500.5.col',13,2.450199604034424,3,"[0.79848313331604, 0.6492657661437988, 0.7479331493377686]","[15, 14, 13]"
13,b'fpsol2.i.1.col',65,830.670904636383,2,"[48.967899799346924, 600.2903833389282]","[65, 0]"
14,b'fpsol2.i.2.col',33,906.611677646637,2,"[20.538123846054077, 600.0012819766998]","[33, 0]"
15,b'fpsol2.i.3.col',32,1024.677440404892,2,"[23.110652685165405, 600.0024309158325]","[32, 0]"
16,b'games120.col',9,0.7470777034759521,1,[0.02794671058654785],[9]
17,b'homer.col',13,773.8492007255554,2,"[2.7752041816711426, 600.002747297287]","[13, 0]"
18,b'huck.col',11,1.5213658809661865,2,"[0.026949405670166016, 0.787003755569458]","[11, 0]"
19,b'jean.col',11,600.4767937660217,2,"[0.020459413528442383, 600.0002434253693]","[11, 0]"
20,b'le450_15a.col',16,748.577550649643,3,"[1.9153621196746826, 75.27791142463684, 600.0049905776978]","[17, 16, 0]"
21,b'le450_15b.col',17,654.9032821655273,2,"[1.31866455078125, 600.0073237419128]","[17, 0]"
22,b'le450_25a.col',25,667.9939980506897,2,"[2.029952049255371, 600.06738114357]","[25, 0]"
23,b'le450_25b.col',25,656.5077981948853,2,"[1.7706325054168701, 600.0018539428711]","[25, 0]"
24,b'le450_5a.col',10,644.7310841083527,2,"[0.6899628639221191, 600.0347867012024]","[10, 0]"
25,b'le450_5b.col',10,645.4196302890778,2,"[0.8194420337677002, 600.0060408115387]","[10, 0]"
26,b'le450_5c.col',11,646.3172099590302,2,"[1.3183810710906982, 600.0052354335785]","[11, 0]"
27,b'le450_5d.col',12,661.0819838047028,3,"[1.66957688331604, 0.4755985736846924, 600.0365695953369]","[13, 12, 0]"
