,0,1,2,3,4,5
0,Instance,Solution,Temps,Itérations,Temps par itération,Couleurs par itération
1,b'anna.col',11,4.537682056427002,2,"[0.38227343559265137, 0.025950193405151367]","[11, 0]"
2,b'david.col',11,1.7637927532196045,2,"[0.3894023895263672, 0.023956298828125]","[11, 0]"
3,b'DSJC1000.1.col',6,608.0125625133514,3,"[2.972846746444702, 2.9540257453918457, 600.0355343818665]","[7, 6, 0]"
4,b'DSJC1000.5.col',15,615.0822043418884,4,"[5.943331718444824, 2.901982545852661, 3.699967861175537, 600.0032422542572]","[17, 16, 15, 0]"
5,b'DSJC125.1.col',5,3.544208288192749,3,"[0.12857484817504883, 1.3439393043518066, 0.01447153091430664]","[6, 5, 0]"
6,b'DSJC125.5.col',6,0.05389833450317383,2,"[0.03143882751464844, 0.001497030258178711]","[6, 0]"
7,b'DSJC125.9.col',52,681.6024718284607,4,"[22.309083938598633, 7.263191223144531, 15.365934371948242, 600.0005421638489]","[54, 53, 52, 0]"
8,b'DSJC250.1.col',7,603.4994299411774,3,"[0.45473623275756836, 0.17891979217529297, 600.0012209415436]","[8, 7, 0]"
9,b'DSJC250.5.col',12,603.783365726471,4,"[0.46860766410827637, 0.20760679244995117, 2.2886505126953125, 600.0040514469147]","[14, 13, 12, 0]"
10,b'DSJC500.1.col',7,606.2812807559967,3,"[1.2092022895812988, 0.5053281784057617, 600.0020399093628]","[8, 7, 0]"
11,b'DSJC500.5.col',12,625.3082778453827,3,"[1.446747064590454, 23.00027060508728, 600.0028891563416]","[13, 12, 0]"
12,b'DSJR500.5.col',13,1.0589864253997803,1,[0.9187538623809814],[13]
13,b'fpsol2.i.1.col',65,864.3037853240967,2,"[88.93725395202637, 600.0091731548309]","[65, 0]"
14,b'fpsol2.i.2.col',30,1196.9288547039032,2,"[211.59336113929749, 600.0030090808868]","[30, 0]"
15,b'fpsol2.i.3.col',30,1191.0833458900452,2,"[254.3506956100464, 600.0030217170715]","[30, 0]"
16,b'games120.col',9,0.9479513168334961,1,[0.13798761367797852],[9]
17,b'homer.col',13,776.9859700202942,2,"[4.0373241901397705, 600.0038821697235]","[13, 0]"
18,b'huck.col',11,0.8858153820037842,2,"[0.20061898231506348, 0.013972759246826172]","[11, 0]"
19,b'jean.col',10,0.3937528133392334,1,[0.09282612800598145],[10]
20,b'le450_15a.col',16,667.1075208187103,2,"[12.663913488388062, 600.0036020278931]","[16, 0]"
21,b'le450_15b.col',17,665.7654490470886,2,"[13.004853248596191, 600.0058839321136]","[17, 0]"
22,b'le450_25a.col',25,93.12344741821289,2,"[21.705232858657837, 0.4236938953399658]","[25, 0]"
23,b'le450_25b.col',25,74.86712908744812,2,"[18.342782020568848, 0.45064330101013184]","[25, 0]"
24,b'le450_5a.col',9,677.5686259269714,3,"[2.9884543418884277, 9.882210731506348, 600.0058791637421]","[10, 9, 0]"
25,b'le450_5b.col',9,669.9492537975311,3,"[3.0568480491638184, 0.7595558166503906, 600.004887342453]","[10, 9, 0]"
26,b'le450_5c.col',11,671.7930912971497,3,"[8.286743402481079, 1.2835607528686523, 600.0057339668274]","[12, 11, 0]"
27,b'le450_5d.col',5,270.9656879901886,6,"[7.912826061248779, 1.0709640979766846, 25.99411630630493, 36.72520971298218, 95.42938828468323, 0.4462771415710449]","[10, 9, 8, 7, 6, 5]"
28,b'miles1000.col',42,60.03940725326538,2,"[9.395091772079468, 38.782264947891235]","[42, 0]"
29,b'miles1500.col',73,632.2622849941254,2,"[11.82996416091919, 600.0283348560333]","[73, 0]"
30,b'miles250.col',8,1.7766215801239014,2,"[0.09032106399536133, 0.010980844497680664]","[8, 0]"
31,b'miles500.col',20,2.924558162689209,2,"[0.7385988235473633, 0.11608719825744629]","[20, 0]"
32,b'miles750.col',31,10.003478050231934,2,"[3.1350417137145996, 2.006683111190796]","[31, 0]"
33,b'mulsol.i.1.col',49,621.093742609024,2,"[8.065886735916138, 600.008838891983]","[49, 0]"
34,b'mulsol.i.2.col',31,31.861987590789795,2,"[8.179517984390259, 1.4262864589691162]","[31, 0]"
35,b'mulsol.i.3.col',31,32.94848871231079,2,"[8.466403484344482, 1.785604476928711]","[31, 0]"
36,b'mulsol.i.4.col',31,32.53357553482056,2,"[8.773107290267944, 1.488813877105713]","[31, 0]"
